SUCCESS | Pulled all events through Discovery API. Total Events: 1100
SUCCESS | Pulled all events through Discovery API. Total Events: 1100
SUCCESS | Pulled all events through Discovery API. Total Events: 1100
ERROR | Could not extract presale info for --> Jack Johnson,http://ticketmaster.com/event/1C005246EB625DBA. Exception: 'presales'
ERROR | Could not extract presale info for --> Jack Johnson,http://ticketmaster.com/event/1C005246EB5C5DB8. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> The Avalanches,http://ticketmaster.com/event/1C005243029F84C4. Exception: 'presales'
ERROR | Could not extract presale info for --> Future: Nobody Safe Tour,https://concerts.livenation.com/event/1C005249F94B83D5. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Royksopp,http://ticketmaster.com/event/1C00523FE611784D. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Steve Martin & Martin Short,https://concerts.livenation.com/event/1C0052498BD82DB4. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Espinoza Paz,http://ticketmaster.com/event/1C005248C99EB102. Exception: 'presales'
ERROR | Could not extract presale info for --> Lady Gaga Joanne World Tour,https://ticketmaster.com/event/1C00523B0B499E11. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Bring It! Live,http://ticketmaster.com/event/1C005248A62E916C. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Chris Isaak,http://ticketmaster.com/event/1C00524DDE268C31. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> 8 Tour - Incubus with special guests Jimmy Eat World,https://concerts.livenation.com/event/1C00524FA7C870FA. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Galantis,https://ticketmaster.com/event/1C00523BE2319310. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Diamanda Galás,https://concerts.livenation.com/event/1C00524D9BBF57EB. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> STEPHEN LYNCH: THE MY OLD HEART TOUR,http://ticketmaster.com/event/1C005247D27949ED. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Golden State Warriors vs. Milwaukee Bucks,https://ticketmaster.com/event/1C00510833567BB4. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Golden State Warriors vs. Houston Rockets,https://ticketmaster.com/event/1C00510833647BC7. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Golden State Warriors vs. Orlando Magic,https://ticketmaster.com/event/1C00510833517BB1. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Green Day - Revolution Radio Tour,https://ticketmaster.com/event/1C00522478D01059. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Golden State Warriors vs. Philadelphia 76ers,https://ticketmaster.com/event/1C005108334C7BA8. Exception: list indices must be integers, not str
ERROR | Could not extract presale info for --> Kehlani,https://ticketmaster.com/event/1C005187FE05647B. Exception: list indices must be integers, not str
