ERROR | Could not extract presale info for --> Craig Robinson,http://concerts.livenation.com/event/1C005232E02943F6
ERROR | Could not extract presale info for --> Toyota NHRA Sonoma Nationals - Finals,http://ticketmaster.com/event/1C005189C2716C8C
ERROR | Could not extract presale info for --> Old 97's,http://concerts.livenation.com/event/1C00517DDBD57489
ERROR | Could not extract presale info for --> Craig Robinson,http://concerts.livenation.com/event/1C005232E01C43DA
ERROR | Could not extract presale info for --> Aimee Mann,http://concerts.livenation.com/event/1C005224FDA33B63
ERROR | Could not extract presale info for --> The Damned 40th Anniversary U.S. Tour,http://concerts.livenation.com/event/1C005152F018600C
ERROR | Could not extract presale info for --> Anders Osborne,http://concerts.livenation.com/event/1C00523ED5003D95
ERROR | Could not extract presale info for --> Chicago & the Doobie Brothers,http://concerts.livenation.com/event/1C0051948F2B160D
ERROR | Could not extract presale info for --> The Weeknd - Starboy: Legend of the Fall 2017 World Tour,http://ticketmaster.com/event/1C00515BEC905F32
ERROR | Could not extract presale info for --> Y&T,http://concerts.livenation.com/event/1C00516FF3A84E87
ERROR | Could not extract presale info for --> Tash Sultana,http://concerts.livenation.com/event/1C00523AAE6F3995
ERROR | Could not extract presale info for --> Nosleep Podcast,http://ticketmaster.com/event/1C00515AB29F59AD
ERROR | Could not extract presale info for --> Bayside /  Say Anything,http://concerts.livenation.com/event/1C005225D5FD25CC
ERROR | Could not extract presale info for --> Monster Energy NASCAR Cup Series Qualifying,http://ticketmaster.com/event/1C0051899E4D32D9
ERROR | Could not extract presale info for --> 107.7 The Bone Presents:United We Rock Tour w/ Styx & REO Speedwagon,http://concerts.livenation.com/event/1C00524E41A6BCD2
ERROR | Could not extract presale info for --> Viceroy,http://ticketmaster.com/event/1C005187B6152C70
ERROR | Could not extract presale info for --> Japandroids,http://concerts.livenation.com/event/1C0051599FF64DD3
ERROR | Could not extract presale info for --> As It Is, Roam, Grayscale, Sleep On It,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7223395&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> U2: The Joshua Tree Tour 2017,http://ticketmaster.com/event/1C00519EB0532529
ERROR | Could not extract presale info for --> Toyota/Save Mart 350 - Monster Energy NASCAR Cup Series,http://ticketmaster.com/event/1C005189A03A347D
ERROR | Could not extract presale info for --> Rich the Kid with Special Guest Jay Critch,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7185145&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Chronixx,http://concerts.livenation.com/event/1C005189CCE47EDD
ERROR | Could not extract presale info for --> Coldplay: A Head Full of Dreams Tour,http://ticketmaster.com/event/1C005146A7F94470
ERROR | Could not extract presale info for --> Heavyweight Comedy Showdown hosted by Terry Dorsey,http://concerts.livenation.com/event/1C005250B417708D
ERROR | Could not extract presale info for --> 2017 Honda Civic Tour Featuring OneRepublic,http://concerts.livenation.com/event/1C00524E4D4DBE35
ERROR | Could not extract presale info for --> Club & Parking Upgrade: Future,http://concerts.livenation.com/event/1C00524E018ABEDF
ERROR | Could not extract presale info for --> Monster Jam,http://ticketmaster.com/event/1C00518CA43C31E0
ERROR | Could not extract presale info for --> New Orleans Suspects, Brass Animals,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7180175&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Ann Wilson,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071137
ERROR | Could not extract presale info for --> Matisyahu,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071138
ERROR | Could not extract presale info for --> Social Distortion,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2060285
ERROR | Could not extract presale info for --> Why?,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071145
ERROR | Could not extract presale info for --> The Brothers Comatose,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071144
ERROR | Could not extract presale info for --> Tinariwen,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071149
ERROR | Could not extract presale info for --> Tech N9ne,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2066786
ERROR | Could not extract presale info for --> Thursday,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071146
ERROR | Could not extract presale info for --> State Champs,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2044233
ERROR | Could not extract presale info for --> Cock Sparrer,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071143
ERROR | Could not extract presale info for --> The Zombies,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2007034
ERROR | Could not extract presale info for --> Andrew McMahon,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2035680
ERROR | Could not extract presale info for --> Todrick Hall,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2071142
ERROR | Could not extract presale info for --> Yo Yo Ma,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2019825
ERROR | Could not extract presale info for --> 2CELLOS,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2060059
ERROR | Could not extract presale info for --> Weber State Wildcats Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2067276
ERROR | Could not extract presale info for --> Ole Miss Rebels Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2063043
ERROR | Could not extract presale info for --> USC Trojans Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2063044
ERROR | Could not extract presale info for --> Washington State  Cougars Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2063046
ERROR | Could not extract presale info for --> Arizona Wildcats Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2063049
ERROR | Could not extract presale info for --> Oregon State Beavers Football at California Golden Bears Football,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2063050
ERROR | Could not extract presale info for --> Dijityl,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7155385&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> King Demo,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7197135&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Pickin' On the Potomac,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028495&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028585&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Dr. Strangelove,http://ticketmaster.com/event/1C0052631CF2B4E4
ERROR | Could not extract presale info for --> Isaiah Rashad,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2035454
ERROR | Could not extract presale info for --> Isaiah Rashad,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2052515
ERROR | Could not extract presale info for --> Syd The Kyd,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2065493
ERROR | Could not extract presale info for --> OG Maco,http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2064845
ERROR | Could not extract presale info for --> OSA MIXTAPE - Next Generation Artist Connection,http://ticketmaster.com/event/1C005257D4D38186
ERROR | Could not extract presale info for --> Old Crow Medicine Show Performing Blonde on Blonde,http://ticketmaster.com/event/1C005250D1018998
ERROR | Could not extract presale info for --> Shane Koyczan, Marc Bamuthi Joseph, Jamie Dewolf,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7048875&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Mindex, Charlesthefirst B2b Potions, Official: Boa, Jason Burruss,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7268215&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Seven, Juss B, Roommate, Centauri,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7268165&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Emily Wells, Anml, J. Freeman,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7154735&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Xenia Rubinos, Naytronix (Nate of Tune-Yards),http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7230055&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Bambu, DJ Phatrick, Ruby Ibarra, Power Struggle, Chulita Vinyl Club,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7211535&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Perkulat0r, Esseks, Secret Recipe Music, Kowta,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7268265&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Black Atlass W/ Special Guest Overwerk & Rayana Jay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7175865&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> La Misa Negra, Locura,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7152315&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> David Harness, DJ Kincaid,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7271555&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Thepeople,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7275685&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Soft Fade,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7286965&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Disco Donutz,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7117215&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Grimblee VS Hecka,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7291915&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Nails, Toxic Holocaust, Gatecreeper, Succumb,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7065845&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Ships In the Night,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7287015&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> The Slants, the New Up, Goh Nakamura,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7137485&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Power Trip, Destruction Unit, Mizery, Primal Rite,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7174585&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Alex Cuba, Makru,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7229565&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Lee Fields & the Expressions, B-Side Brujas,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7257685&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Katchafire, Inna Vision, DJ Julicio,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7283525&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Denitia and Sene., Zee Will,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7143585&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Locksmith, Down 2 Earth, J.lately, Just Rese,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7257795&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> No Ceilings featuring Boogie, Kaiydo, Kemba, and Michael Christmas,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7254245&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Grand Tapestry Feat. Eligh,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7274585&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Brother Ali, Sa-Roc,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7287715&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Roots Shack Reggae Ft. Selecta Kurious,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7288145&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Wordup Heavy Is the Head,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7287295&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Foundation,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7288175&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Ladi Dadi,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7287195&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> David Harness, DJ Kincaid,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7271545&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> La Cuneta Son MacHin, Pasto Seco Band, La Inedita, DJ Julicio, El Kool,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7283675&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Hi Rez with Special Guests Emilio Rojas and Justin Stone,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7260825&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Dave B with Special Guests Abjo, Romaro Franceswa and Nyles Davis,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7269105&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Michelle Wolf,http://concerts.livenation.com/event/1C00522ACA0C4BA0
ERROR | Could not extract presale info for --> Geoff Tate the Whole Story Ryche Acoustic Tour 2017,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7195715&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> DS-13, Connoisseur,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7074925&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Bay Baseball,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7276555&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Opening Day Cruise On San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7290325&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028205&REFERRAL_ID=tmfeed
